altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
0,288.15,101325,1.225,340.294,1.81E-05
1,288.143,101313,1.22488,340.29,1.81E-05
2,288.137,101301,1.22476,340.286,1.81E-05
3,288.13,101289,1.22465,340.283,1.81E-05
4,288.124,101277,1.22453,340.279,1.81E-05
5,288.117,101265,1.22441,340.275,1.81E-05
6,288.111,101253,1.22429,340.271,1.81E-05
7,288.104,101241,1.22418,340.267,1.81E-05
8,288.098,101229,1.22406,340.263,0.000018118
9,288.091,101217,1.22394,340.26,1.81E-05
10,288.085,101205,1.22382,340.256,1.81E-05
11,288.078,101193,1.22371,340.252,0.000018117
12,288.072,101181,1.22359,340.248,1.81E-05
13,288.065,101169,1.22347,340.244,1.81E-05
14,288.059,101157,1.22335,340.24,0.000018116
15,288.052,101145,1.22324,340.236,1.81E-05
16,288.046,101133,1.22312,340.233,1.81E-05
17,288.039,101121,1.223,340.229,0.000018115
18,288.033,101109,1.22288,340.225,1.81E-05
19,288.026,101097,1.22277,340.221,1.81E-05
20,288.02,101085,1.22265,340.217,1.81E-05
21,288.013,101073,1.22253,340.213,1.81E-05
22,288.007,101061,1.22241,340.21,1.81E-05
23,288,101049,1.2223,340.206,1.81E-05
24,287.994,101037,1.22218,340.202,1.81E-05
25,287.987,101025,1.22206,340.198,1.81E-05
26,287.981,101013,1.22195,340.194,1.81E-05
27,287.974,101001,1.22183,340.19,1.81E-05
28,287.968,100989,1.22171,340.187,1.81E-05
29,287.962,100977,1.22159,340.183,1.81E-05
30,287.955,100965,1.22148,340.179,1.81E-05
31,287.948,100953,1.22136,340.175,1.81E-05
32,287.942,100941,1.22124,340.171,1.81E-05
33,287.935,100929,1.22112,340.167,1.81E-05
34,287.929,100917,1.22101,340.164,1.81E-05
35,287.922,100905,1.22089,340.16,1.81E-05
36,287.916,100893,1.22077,340.156,1.81E-05
37,287.909,100881,1.22065,340.152,1.81E-05
38,287.903,100869,1.22054,340.148,1.81E-05
39,287.897,100857,1.22042,340.144,1.81E-05
40,287.89,100845,1.2203,340.141,1.81E-05
41,287.883,100833,1.22019,340.137,1.81E-05
42,287.877,100821,1.22007,340.133,1.81E-05
43,287.87,100810,1.21995,340.129,1.81E-05
44,287.864,100798,1.21983,340.125,1.81E-05
45,287.857,100786,1.21972,340.121,0.000018106
46,287.851,100774,1.2196,340.117,1.81E-05
47,287.844,100762,1.21948,340.114,1.81E-05
